4.260299999999999 2.68 3
4.229774999999999 2.68 3
4.1225249999999996 4.527 3
8.0355 4.527 3
6.164399999999999 0 3
5.510999999999999 3.47 3
5.510999999999999 3.46 3
6.164399999999999 0 3
16.1733 0 2
5.7345749999999995 0 3
9.64755 0 3
6.9597 2.35 3
6.9597 3.24 3
7.5273 2.8 3
6.511725 2.96 3
6.164399999999999 0 3
13.205 14.286 2
0.5 0 5
0.5 0 5
0.5 0 5
0.5 0 5
11.887 11.47 2
7.747574999999999 2.86 3
7.747574999999999 10.25 3
6.731999999999999 2.79 3
6.731999999999999 2.89 3
11.832 13.147 2
6.132225 11.749 3
6.132225 7.772 3
16.386 14.491 2
5.61825 10.24 3
5.61825 3.23 3
5.56875 2.52 3
6.352499999999999 2.19 3
6.352499999999999 10.15 3
5.56875 5.03 3
11.762 13.08 2
7.1065499999999995 3.23 3
7.1065499999999995 2.84 3
7.1065499999999995 10.21 3
7.1065499999999995 2.76 3
7.6073249999999994 1.43 3
7.861425 6.25 3
11.832 13.111 2
11.02 12.935 2
9.6459 6.42 3
9.899999999999999 1.48 3
9.899999999999999 8.14 3
10.1541 6.45 3
7.6073249999999994 6.54 3
7.861425 7.44 3
6.584325 2.706 3
11.02 13.832 2
7.368074999999999 7.275 3
7.368074999999999 7.275 3
6.962999999999999 6.803 3
6.962999999999999 6.803 3
6.962999999999999 6.803 3
11.762 0 2
7.1362499999999995 7.711 3
7.1362499999999995 7.711 3
7.1362499999999995 7.711 3
7.1362499999999995 7.711 3
11.762 0 2
6.912675 7.142 3
6.912675 7.142 3
6.687449999999999 6.565 3
6.722925 6.65 3
6.25515 6.65 3
6.103349999999999 6.65 3
6.103349999999999 6.65 3
6.103349999999999 6.65 3
6.103349999999999 6.65 3
6.103349999999999 6.65 3
6.103349999999999 6.65 3
12.132 0 2
6.303825 6.605 3
6.303825 6.605 3
6.303825 6.605 3
5.83605 6.605 3
5.83605 6.605 3
5.83605 6.605 3
1.943 1.943 4
0.453 0.453 5
0.443 0.443 5
8.694675 5.882 3
0.537 0.537 5
2.233275 0 3
0.468 0.467 5
0.467 0.46 5
10.4973 7.051 3
1.448 2.283 4
10.4973 7.744 3
0.453 0.442 5
1.451 1.932 4
0.453 0.456 5
10.4973 7.888 3
1.451 1.44 4
1.177 1.767 4
8.37045 6.252 3
10.357875 6.102 3
12.622499999999999 7.447 3
12.622499999999999 7.444 3
0.5049 0 3
0.5049 0 3
0.474 0.474 5
1.091 1.093 4
0.545 0.541 5
0.447 0.443 5
8.37045 8.066 3
1.177 1.059 4
1.992 2.154 4
10.4973 7.771 3
10.357875 7.329 3
1.8158249999999998 0 3
1.8158249999999998 0 3
1.8158249999999998 0 3
1.02795 8.133 3
5.139749999999999 0 3
5.139749999999999 0 3
9.483374999999999 7.185 3
9.483374999999999 7.185 3
9.483374999999999 7.185 3
9.483374999999999 7.185 3
8.707875 7 3
8.707875 7 3
8.707875 7 3
8.707875 7 3
8.707875 7 3
8.707875 7 3
8.858025 8.321 3
0.442 0.442 5
0.442 0.443 5
8.858025 8.322 3
0.547 0.548 5
8.1807 7.978 3
1.602 1.595 4
1.405 1.396 4
8.37045 7.988 3
8.08005 7.7 3
14.246 0 2
7.973625 7.367 3
7.973625 7.367 3
7.973625 7.367 3
7.973625 7.367 3
11.762 0 2
6.912675 8.439 3
6.912675 8.439 3
6.128925 1.97 3
6.912675 6.06 3
6.912675 7.25 3
8.1015 1.85 3
3.432825 6.18 3
11.762 13.084 2
7.1362499999999995 7.65 3
7.1362499999999995 5.27 3
7.1362499999999995 1.92 3
7.1362499999999995 7.6 3
14.778224999999999 11.461 2
10.848749999999999 1.88 3
6.180075 6.16 3
11.762 12.959 2
9.09975 3.74 3
9.09975 2.36 3
6.4581 6.297 3
6.4581 6.297 3
6.4581 6.297 3
6.4581 6.297 3
1.521 1.762 4
0.46 0.443 5
8.63775 8.058 3
10.4973 7.845 3
0.442 0.44 5
1.47 1.47 4
0.442 0.44 5
10.4973 7.845 3
1.47 1.47 4
12.622499999999999 7.309 3
12.622499999999999 7.308 3
0.44 0.44 5
8.567625 8.275 3
1.749 2.219 4
1.326 1.466 4
8.37045 8.256 3
8.08005 7.413 3
2.468 2.319 4
2.468 2.306 4
1.618 1.802 4
0.45 0.45 5
8.733450000000001 8.603 3
4.260299999999999 10.26 3
5.510999999999999 10.17 3
4.229774999999999 2.68 3
4.640625 3.786 3
4.133249999999999 3.786 3
5.510999999999999 3.46 3
15.287249999999998 0 2
0.487 0.462 5
10.4973 7.891 3
1.4 1.309 4
1.283 1.298 4
8.37045 7.412 3
10.357875 7.714 3
5.200799999999999 2.51 3
5.200799999999999 10.24 3
5.200799999999999 3.1 3
5.200799999999999 2.52 3
5.200799999999999 2.52 3
